index,eigenvalue
0,724.45264
1,520.7841
2,151.33887
3,131.87807
4,118.89253
5,83.8366
6,80.26355
7,72.0494
8,61.140667
9,50.748978
10,39.868
11,36.24156
12,0.00015416478
13,0.000113764414
14,0.00011129305
15,9.860157e-05
16,9.802437e-05
17,8.570562e-05
18,8.3618055e-05
19,8.271826e-05
20,7.263237e-05
21,6.511922e-05
22,6.20526e-05
23,6.060122e-05
24,5.9939543e-05
25,5.8184647e-05
26,3.6514964e-05
27,2.826254e-05
28,2.4086195e-05
29,2.3941577e-05
30,2.2467877e-05
31,1.9684923e-05
32,1.9179422e-05
33,1.7767115e-05
34,1.5703363e-05
35,1.5596652e-05
36,1.4067653e-05
37,1.3666876e-05
38,1.31541e-05
39,1.176728e-05
40,1.1243262e-05
41,1.115675e-05
42,1.0881068e-05
43,9.833848e-06
44,9.795186e-06
45,9.260139e-06
46,8.834757e-06
47,8.659036e-06
48,8.099658e-06
49,7.776431e-06
50,7.703172e-06
51,7.5466332e-06
52,7.170227e-06
53,6.912065e-06
54,6.8921095e-06
55,6.726325e-06
56,6.66752e-06
57,6.659589e-06
58,6.541921e-06
59,6.5370364e-06
60,6.488583e-06
61,6.341466e-06
62,6.2235035e-06
63,5.5629903e-06
64,5.5348655e-06
65,5.330329e-06
66,5.292887e-06
67,5.207946e-06
68,4.929004e-06
69,4.8954275e-06
70,4.8157144e-06
71,4.8064257e-06
72,4.8035868e-06
73,4.7186927e-06
74,4.5190995e-06
75,4.4360727e-06
76,4.414874e-06
77,4.399919e-06
78,4.2984702e-06
79,4.201303e-06
80,4.187038e-06
81,4.1024746e-06
82,4.0099003e-06
83,4.002894e-06
84,3.9802467e-06
85,3.9745855e-06
86,3.925273e-06
87,3.8737016e-06
88,3.8196986e-06
89,3.7765258e-06
90,3.7480877e-06
91,3.6985723e-06
92,3.5815615e-06
93,3.5545836e-06
94,3.5408868e-06
95,3.4982318e-06
96,3.4677812e-06
97,3.43928e-06
98,3.4152488e-06
99,3.3753984e-06
100,3.3705692e-06
101,3.32779e-06
102,3.310912e-06
103,3.2552052e-06
104,3.2511382e-06
105,3.2062082e-06
106,3.193246e-06
107,3.188038e-06
108,3.1817506e-06
109,3.1669756e-06
110,3.0964186e-06
111,3.0705257e-06
112,3.061077e-06
113,3.0493384e-06
114,3.0384247e-06
115,3.0316578e-06
116,3.0251224e-06
117,2.97535e-06
118,2.9728683e-06
119,2.9448188e-06
120,2.9341504e-06
121,2.9251737e-06
122,2.8848697e-06
123,2.884321e-06
124,2.8801535e-06
125,2.8538302e-06
126,2.8093814e-06
127,2.80497e-06
128,2.7595172e-06
129,2.7552783e-06
130,2.743071e-06
131,2.7417716e-06
132,2.7403175e-06
133,2.7238343e-06
134,2.7013493e-06
135,2.7010037e-06
136,2.6567793e-06
137,2.638801e-06
138,2.630919e-06
139,2.6248315e-06
140,2.609892e-06
141,2.6091561e-06
142,2.582525e-06
143,2.5505933e-06
144,2.5505776e-06
145,2.548988e-06
146,2.540607e-06
147,2.526248e-06
148,2.521533e-06
149,2.511107e-06
150,2.5092177e-06
151,2.467577e-06
152,2.4565452e-06
153,2.433053e-06
154,2.4267806e-06
155,2.4221135e-06
156,2.4175692e-06
157,2.4007954e-06
158,2.378186e-06
159,2.3710484e-06
160,2.361315e-06
161,2.3590037e-06
162,2.357096e-06
163,2.3400287e-06
164,2.3151078e-06
165,2.3123732e-06
166,2.3008024e-06
167,2.2956256e-06
168,2.2842214e-06
169,2.2556935e-06
170,2.2332883e-06
171,2.2114125e-06
172,2.2001016e-06
173,2.1955607e-06
174,2.1926587e-06
175,2.18067e-06
176,2.1802325e-06
177,2.1740566e-06
178,2.1699923e-06
179,2.1605201e-06
180,2.1587202e-06
181,2.15739e-06
182,2.1544656e-06
183,2.150511e-06
184,2.1481421e-06
185,2.1266737e-06
186,2.1141486e-06
187,2.1095543e-06
188,2.0933028e-06
189,2.0859457e-06
190,2.0811856e-06
191,2.0803507e-06
192,2.0741138e-06
193,2.0467623e-06
194,2.0443472e-06
195,2.0434443e-06
196,1.9931622e-06
197,1.9845622e-06
198,1.9827926e-06
199,1.9695797e-06
200,1.9509607e-06
201,1.9497227e-06
202,1.943904e-06
203,1.9403847e-06
204,1.9395181e-06
205,1.9371062e-06
206,1.933693e-06
207,1.9268068e-06
208,1.9258962e-06
209,1.9180113e-06
210,1.9146487e-06
211,1.913796e-06
212,1.9083975e-06
213,1.9063278e-06
214,1.8935012e-06
215,1.8917553e-06
216,1.8714163e-06
217,1.8428211e-06
218,1.8337234e-06
219,1.8330995e-06
220,1.8244835e-06
221,1.8192458e-06
222,1.8183053e-06
223,1.8100945e-06
224,1.8096359e-06
225,1.8059491e-06
226,1.7928684e-06
227,1.7902144e-06
228,1.7815767e-06
229,1.7771964e-06
230,1.775602e-06
231,1.7731554e-06
232,1.7578378e-06
233,1.7510962e-06
234,1.7494664e-06
235,1.7483409e-06
236,1.7471922e-06
237,1.7432537e-06
238,1.7429436e-06
239,1.7410597e-06
240,1.7033966e-06
241,1.7002227e-06
242,1.6946326e-06
243,1.69449e-06
244,1.6868089e-06
245,1.6753586e-06
246,1.6669546e-06
247,1.6649201e-06
248,1.6551718e-06
