index,eigenvalue
0,73.48847
1,29.122702
2,22.187056
3,18.321743
4,14.013176
5,8.946498
6,8.4937105
7,7.623694
8,6.717087
9,6.193937
10,4.9717135
11,0.07297626
12,5.3263298e-06
13,5.1010625e-06
14,4.7940935e-06
15,4.7721596e-06
16,4.103679e-06
17,3.97607e-06
18,3.6311687e-06
19,3.6287634e-06
20,3.4881916e-06
21,3.4264483e-06
22,3.0503968e-06
23,2.9804783e-06
24,2.8424208e-06
25,2.8016616e-06
26,2.691815e-06
27,2.5704248e-06
28,2.5068973e-06
29,2.400823e-06
30,2.3960376e-06
31,2.3119e-06
32,2.214242e-06
33,2.2141119e-06
34,2.1079934e-06
35,2.1007377e-06
36,2.029766e-06
37,2.0268214e-06
38,1.9828356e-06
39,1.8793191e-06
40,1.8659134e-06
41,1.8253781e-06
42,1.7767544e-06
43,1.7682702e-06
44,1.7109604e-06
45,1.661052e-06
46,1.6489662e-06
47,1.6465144e-06
48,1.6396015e-06
49,1.599775e-06
50,1.5879426e-06
51,1.5531313e-06
52,1.5260548e-06
53,1.4998218e-06
54,1.4978517e-06
55,1.4610619e-06
56,1.459553e-06
57,1.4564836e-06
58,1.4562363e-06
59,1.426407e-06
60,1.4050519e-06
61,1.4044456e-06
62,1.400928e-06
63,1.4005287e-06
64,1.3960599e-06
65,1.3956161e-06
66,1.3428602e-06
67,1.3425107e-06
68,1.3287031e-06
69,1.3242958e-06
70,1.3142889e-06
71,1.2955196e-06
72,1.2827386e-06
73,1.2809872e-06
74,1.2792524e-06
75,1.2778995e-06
76,1.2663661e-06
77,1.236166e-06
78,1.2343362e-06
79,1.223782e-06
80,1.2192638e-06
81,1.2186019e-06
82,1.2104015e-06
83,1.1992621e-06
84,1.1800549e-06
85,1.1741275e-06
86,1.1687757e-06
87,1.1663477e-06
88,1.1545453e-06
89,1.1366741e-06
90,1.1309883e-06
91,1.1297362e-06
92,1.1235383e-06
93,1.1201759e-06
94,1.1184019e-06
95,1.1140843e-06
96,1.1046636e-06
97,1.1014614e-06
98,1.0933474e-06
99,1.0831046e-06
100,1.072876e-06
101,1.0667526e-06
102,1.0643193e-06
103,1.0604097e-06
104,1.0525424e-06
105,1.0449927e-06
106,1.0381003e-06
107,1.0377856e-06
108,1.0345457e-06
109,1.0251794e-06
110,1.0236846e-06
111,1.0228795e-06
112,1.0227599e-06
113,1.0137554e-06
114,1.0135353e-06
115,1.0123299e-06
116,1.0100669e-06
117,9.999003e-07
118,9.967038e-07
119,9.852934e-07
120,9.825774e-07
121,9.816869e-07
122,9.741275e-07
123,9.721853e-07
124,9.720328e-07
125,9.673587e-07
126,9.657716e-07
127,9.535509e-07
128,9.4797946e-07
129,9.4310457e-07
130,9.382021e-07
131,9.3814714e-07
132,9.374302e-07
