index,eigenvalue
0,0.26139376
1,0.19786981
2,0.15573627
3,0.04615858
4,0.031546805
5,0.022821672
6,0.0072924863
7,0.0060819252
8,0.0056401016
9,0.003928275
10,0.0026840586
11,0.0013689343
12,2.5845763e-08
13,2.4651145e-08
14,2.3362789e-08
15,2.2855357e-08
16,1.855109e-08
17,1.496158e-08
18,1.491287e-08
19,1.4723998e-08
20,1.3918736e-08
21,1.3320803e-08
22,1.2617663e-08
23,1.1477386e-08
24,1.0420243e-08
25,1.0251966e-08
26,9.864689e-09
27,9.860217e-09
28,9.75089e-09
29,9.738235e-09
30,9.351355e-09
31,9.180537e-09
32,9.089531e-09
33,9.069125e-09
34,8.903053e-09
35,8.77492e-09
36,8.7548795e-09
37,8.6542675e-09
38,8.571741e-09
39,8.423783e-09
40,8.220677e-09
41,8.215769e-09
42,8.197129e-09
43,8.12131e-09
44,7.945664e-09
45,7.774236e-09
46,7.662445e-09
47,7.620587e-09
48,7.456571e-09
49,7.371452e-09
50,7.3200694e-09
51,7.298134e-09
52,7.273292e-09
53,7.26392e-09
54,7.256044e-09
55,7.2289983e-09
56,7.2255384e-09
57,7.1308253e-09
58,7.118897e-09
59,7.0643966e-09
60,7.0643806e-09
61,7.04222e-09
62,7.017462e-09
63,6.9576873e-09
64,6.919975e-09
65,6.8208537e-09
66,6.8058825e-09
67,6.6987123e-09
68,6.682982e-09
69,6.66314e-09
70,6.6571295e-09
71,6.6299544e-09
72,6.618162e-09
73,6.599958e-09
74,6.511566e-09
75,6.5081562e-09
76,6.4443375e-09
77,6.382021e-09
78,6.380084e-09
79,6.345489e-09
80,6.337089e-09
81,6.3175456e-09
82,6.2950036e-09
83,6.2770558e-09
84,6.261997e-09
85,6.1433996e-09
86,6.106649e-09
87,6.0657035e-09
88,6.052346e-09
89,6.050395e-09
90,5.961511e-09
91,5.9262013e-09
92,5.898535e-09
93,5.878377e-09
94,5.870877e-09
95,5.8643543e-09
96,5.8630487e-09
97,5.8616783e-09
98,5.8550103e-09
99,5.8347918e-09
100,5.7934924e-09
101,5.7425966e-09
102,5.7229936e-09
103,5.7108562e-09
104,5.672588e-09
105,5.6663856e-09
106,5.6446168e-09
107,5.584753e-09
108,5.570009e-09
109,5.568862e-09
110,5.545087e-09
111,5.5416183e-09
112,5.5392664e-09
113,5.527014e-09
114,5.492921e-09
115,5.479425e-09
116,5.4586677e-09
117,5.414903e-09
118,5.4069402e-09
119,5.399561e-09
120,5.380027e-09
121,5.2552007e-09
122,5.2525118e-09
123,5.2207283e-09
124,5.21266e-09
125,5.2104063e-09
126,5.1999796e-09
127,5.1881193e-09
128,5.1813176e-09
129,5.1713713e-09
130,5.1674065e-09
131,5.123329e-09
