index,eigenvalue
0,1066.956
1,455.4932
2,106.43661
3,93.42518
4,81.027115
5,62.28531
6,53.730656
7,51.53069
8,40.785748
9,35.113674
10,34.412334
11,29.611067
12,0.00015888568
13,0.00015634962
14,0.00013808395
15,0.00012273992
16,0.00011423753
17,8.338541e-05
18,8.301476e-05
19,8.10991e-05
20,7.6046206e-05
21,6.657369e-05
22,5.557905e-05
23,5.387666e-05
24,5.3649026e-05
25,4.329577e-05
26,4.2102485e-05
27,3.9715997e-05
28,3.685422e-05
29,3.4095763e-05
30,3.3509e-05
31,3.124338e-05
32,2.8826244e-05
33,2.4662748e-05
34,2.3234401e-05
35,2.2988246e-05
36,2.2334885e-05
37,2.2134194e-05
38,2.1801809e-05
39,2.1674992e-05
40,1.929483e-05
41,1.5082478e-05
42,1.4818409e-05
43,1.2863237e-05
44,1.2511743e-05
45,1.2016654e-05
46,1.1869619e-05
47,1.1533497e-05
48,1.0844047e-05
49,9.528349e-06
50,9.4611105e-06
51,9.061437e-06
52,8.570847e-06
53,8.453418e-06
54,8.110774e-06
55,8.020499e-06
56,7.341562e-06
57,7.32083e-06
58,7.304625e-06
59,6.846736e-06
60,6.688062e-06
61,6.5687104e-06
62,6.1805135e-06
63,6.141177e-06
64,6.1322025e-06
65,6.1110904e-06
66,5.7918546e-06
67,5.48346e-06
68,5.388048e-06
69,5.37519e-06
70,5.1193783e-06
71,5.0691733e-06
72,4.6268506e-06
73,4.6132654e-06
74,4.499384e-06
75,4.4774292e-06
76,4.371866e-06
77,4.3475957e-06
78,4.3364753e-06
79,4.233214e-06
80,4.1541484e-06
81,4.1053568e-06
82,3.992849e-06
83,3.990901e-06
84,3.9331544e-06
85,3.890667e-06
86,3.7564926e-06
87,3.6457511e-06
88,3.5105304e-06
89,3.507621e-06
90,3.48791e-06
91,3.4396146e-06
92,3.4217535e-06
93,3.4010236e-06
94,3.3672932e-06
95,3.3418953e-06
96,3.298107e-06
97,3.274255e-06
98,3.2341056e-06
99,3.1322297e-06
100,3.1263369e-06
101,3.10217e-06
102,3.0841802e-06
103,3.075084e-06
104,3.060763e-06
105,3.0258655e-06
106,3.0257281e-06
107,3.025205e-06
108,2.9947726e-06
109,2.9460814e-06
110,2.885644e-06
111,2.8741374e-06
112,2.8495137e-06
113,2.8221302e-06
114,2.8178217e-06
115,2.8005222e-06
116,2.798015e-06
117,2.7890242e-06
118,2.7853985e-06
119,2.7595654e-06
120,2.7215037e-06
121,2.7206927e-06
122,2.7129777e-06
123,2.68586e-06
124,2.6683465e-06
125,2.6328082e-06
126,2.6230102e-06
127,2.6020552e-06
128,2.5920017e-06
129,2.5905317e-06
130,2.5653528e-06
131,2.560691e-06
132,2.5562304e-06
133,2.5390543e-06
134,2.5196234e-06
135,2.5195222e-06
136,2.5131276e-06
137,2.50674e-06
138,2.4889948e-06
139,2.467732e-06
140,2.433072e-06
141,2.3934601e-06
142,2.3921566e-06
143,2.3733553e-06
144,2.3695766e-06
145,2.3689654e-06
146,2.3651305e-06
147,2.3599573e-06
148,2.3320474e-06
149,2.3208997e-06
150,2.3046734e-06
151,2.2909337e-06
152,2.2904119e-06
153,2.285528e-06
154,2.2600668e-06
155,2.2322995e-06
156,2.200702e-06
157,2.189625e-06
158,2.1640594e-06
159,2.1603964e-06
160,2.1463484e-06
161,2.1396497e-06
162,2.1338615e-06
163,2.131436e-06
164,2.1294134e-06
165,2.1210456e-06
166,2.1198255e-06
167,2.1187777e-06
168,2.112225e-06
169,2.0713646e-06
170,2.0610964e-06
171,2.0293812e-06
172,2.0146654e-06
173,2.0049981e-06
174,1.993488e-06
175,1.9901538e-06
176,1.9856145e-06
177,1.9835593e-06
178,1.982035e-06
179,1.978695e-06
180,1.9747388e-06
181,1.974563e-06
182,1.9597614e-06
183,1.9533243e-06
184,1.9496938e-06
185,1.9300564e-06
186,1.9261088e-06
187,1.9076497e-06
188,1.9027939e-06
189,1.8938297e-06
190,1.8838758e-06
191,1.8776169e-06
192,1.873742e-06
193,1.8690616e-06
194,1.8602994e-06
195,1.8499512e-06
196,1.8209672e-06
197,1.8147983e-06
198,1.8135087e-06
199,1.80361e-06
200,1.7941991e-06
201,1.7938082e-06
202,1.7924681e-06
203,1.7903976e-06
204,1.7861051e-06
205,1.7849949e-06
206,1.7794468e-06
207,1.7538404e-06
208,1.7519606e-06
209,1.7466964e-06
210,1.7395465e-06
211,1.7288769e-06
212,1.7192177e-06
213,1.7119664e-06
214,1.7084482e-06
215,1.7050794e-06
216,1.6962916e-06
217,1.692628e-06
218,1.6903581e-06
219,1.6810494e-06
220,1.6631611e-06
221,1.6544751e-06
222,1.6532094e-06
223,1.6436704e-06
224,1.6333963e-06
225,1.6256631e-06
226,1.6232771e-06
227,1.6183134e-06
228,1.6178038e-06
229,1.6117882e-06
230,1.6098704e-06
231,1.6030954e-06
232,1.5954262e-06
233,1.5952065e-06
234,1.5873325e-06
235,1.5623637e-06
236,1.562058e-06
237,1.5564516e-06
238,1.5544103e-06
239,1.5527817e-06
240,1.5506389e-06
241,1.5336049e-06
242,1.5326806e-06
243,1.5188836e-06
244,1.5161124e-06
245,1.4957398e-06
246,1.4946822e-06
247,1.4939512e-06
248,1.4834848e-06
249,1.4810535e-06
250,1.4737201e-06
251,1.4711123e-06
252,1.4656084e-06
253,1.4634146e-06
254,1.4590294e-06
255,1.4578915e-06
256,1.453169e-06
257,1.4516734e-06
258,1.4417761e-06
259,1.441768e-06
260,1.4294544e-06
261,1.4288e-06
262,1.4261051e-06
263,1.4227701e-06
264,1.4214816e-06
265,1.3994264e-06
266,1.3958427e-06
267,1.3837708e-06
268,1.3745686e-06
269,1.3736287e-06
270,1.3695189e-06
271,1.3674197e-06
272,1.3611706e-06
273,1.3607053e-06
274,1.3597089e-06
275,1.3574936e-06
276,1.3558729e-06
277,1.3507231e-06
278,1.3237441e-06
279,1.3219362e-06
280,1.3156175e-06
281,1.3126458e-06
282,1.3059278e-06
283,1.2978072e-06
284,1.2884756e-06
285,1.2842381e-06
286,1.2794577e-06
287,1.2772833e-06
288,1.2696651e-06
289,1.2620189e-06
290,1.260798e-06
291,1.2600968e-06
292,1.256569e-06
293,1.2555821e-06
294,1.2498617e-06
295,1.2485087e-06
296,1.2446415e-06
297,1.2424018e-06
298,1.2409417e-06
299,1.2381095e-06
300,1.2380956e-06
301,1.2279514e-06
302,1.2114449e-06
303,1.2050373e-06
304,1.1990703e-06
305,1.1985337e-06
306,1.1934678e-06
307,1.1867872e-06
308,1.1822109e-06
309,1.1782347e-06
310,1.1760918e-06
311,1.1728837e-06
312,1.1712928e-06
313,1.1703056e-06
314,1.1666559e-06
315,1.1661408e-06
316,1.1645507e-06
317,1.1621488e-06
318,1.1617329e-06
319,1.1554222e-06
320,1.1511206e-06
321,1.1482272e-06
322,1.1357673e-06
323,1.1329965e-06
324,1.1314904e-06
325,1.1275082e-06
326,1.1273283e-06
327,1.1243966e-06
328,1.1242748e-06
329,1.1185089e-06
330,1.1167637e-06
331,1.1167608e-06
332,1.1156287e-06
333,1.1073325e-06
334,1.0961294e-06
335,1.0895737e-06
336,1.0854536e-06
337,1.0800152e-06
338,1.0757811e-06
339,1.0724241e-06
340,1.0719782e-06
341,1.0698985e-06
342,1.0692647e-06
343,1.0573094e-06
344,1.0560151e-06
345,1.0549533e-06
346,1.0410449e-06
347,1.0355493e-06
348,1.0308016e-06
349,1.0287519e-06
350,1.0227149e-06
351,1.020161e-06
352,1.0148784e-06
353,1.0133452e-06
354,1.0054408e-06
