index,eigenvalue
0,899.3255
1,407.36172
2,106.3914
3,99.33869
4,79.26808
5,60.67199
6,54.92761
7,49.078136
8,39.85625
9,34.36782
10,32.373722
11,28.84549
12,0.000112324684
13,0.00010563275
14,0.00010023618
15,9.185017e-05
16,8.47438e-05
17,7.914117e-05
18,7.331123e-05
19,6.92413e-05
20,6.370463e-05
21,5.740162e-05
22,5.7183424e-05
23,5.6028755e-05
24,4.006187e-05
25,3.888822e-05
26,3.6906826e-05
27,3.465315e-05
28,3.2794484e-05
29,3.200004e-05
30,2.8243594e-05
31,2.5174482e-05
32,2.3810131e-05
33,2.2380445e-05
34,1.8483266e-05
35,1.669505e-05
36,1.5868041e-05
37,1.559067e-05
38,1.533551e-05
39,1.4536557e-05
40,1.4126484e-05
41,1.3529242e-05
42,1.2748893e-05
43,1.1693719e-05
44,1.1038928e-05
45,1.0847486e-05
46,1.0132116e-05
47,9.982397e-06
48,9.44785e-06
49,8.866681e-06
50,7.942456e-06
51,7.7590275e-06
52,7.2160283e-06
53,7.0450833e-06
54,6.924591e-06
55,6.8808154e-06
56,6.8394284e-06
57,6.7245956e-06
58,6.677038e-06
59,6.5863765e-06
60,6.100288e-06
61,5.761795e-06
62,5.399453e-06
63,5.210789e-06
64,5.1088446e-06
65,5.0947547e-06
66,4.9940213e-06
67,4.8524885e-06
68,4.4532444e-06
69,4.412245e-06
70,4.411736e-06
71,4.383452e-06
72,4.227576e-06
73,4.0882874e-06
74,4.0704144e-06
75,4.0407767e-06
76,3.9875854e-06
77,3.9052306e-06
78,3.904841e-06
79,3.7355253e-06
80,3.620208e-06
81,3.6128883e-06
82,3.5364596e-06
83,3.5176386e-06
84,3.484667e-06
85,3.4286393e-06
86,3.428265e-06
87,3.3975482e-06
88,3.3345502e-06
89,3.239839e-06
90,3.2181806e-06
91,3.132218e-06
92,3.1024565e-06
93,3.0805459e-06
94,3.0569806e-06
95,3.0403858e-06
96,2.980427e-06
97,2.9200376e-06
98,2.8906668e-06
99,2.8466613e-06
100,2.8452368e-06
101,2.8380864e-06
102,2.8143875e-06
103,2.8120926e-06
104,2.7955878e-06
105,2.7895894e-06
106,2.7884012e-06
107,2.7611184e-06
108,2.7317374e-06
109,2.6946193e-06
110,2.6346913e-06
111,2.6021896e-06
112,2.5951645e-06
113,2.59283e-06
114,2.5852664e-06
115,2.5714692e-06
116,2.5636473e-06
117,2.5441811e-06
118,2.5437732e-06
119,2.5289205e-06
120,2.5221593e-06
121,2.503604e-06
122,2.483977e-06
123,2.4150067e-06
124,2.4084231e-06
125,2.4070025e-06
126,2.402794e-06
127,2.3986477e-06
128,2.3900152e-06
129,2.3840983e-06
130,2.3822033e-06
131,2.353511e-06
132,2.3361756e-06
133,2.300588e-06
134,2.2945646e-06
135,2.2784416e-06
136,2.2526597e-06
137,2.2335723e-06
138,2.2173733e-06
139,2.213164e-06
140,2.1945093e-06
141,2.184942e-06
142,2.1847284e-06
143,2.1774053e-06
144,2.1744636e-06
145,2.1697685e-06
146,2.167134e-06
147,2.1471508e-06
148,2.1395795e-06
149,2.1304081e-06
150,2.1220533e-06
151,2.1147373e-06
152,2.0984908e-06
153,2.0781877e-06
154,2.076576e-06
155,2.0699126e-06
156,2.0650784e-06
157,2.0575937e-06
158,2.0439848e-06
159,2.0405027e-06
160,2.0124448e-06
161,1.9976117e-06
162,1.986955e-06
163,1.9818638e-06
164,1.977883e-06
165,1.9696922e-06
166,1.944299e-06
167,1.9405268e-06
168,1.9399367e-06
169,1.935615e-06
170,1.9345703e-06
171,1.9293504e-06
172,1.9271868e-06
173,1.9257923e-06
174,1.919723e-06
175,1.9186434e-06
176,1.9154863e-06
177,1.8989996e-06
178,1.8722459e-06
179,1.8622412e-06
180,1.8497511e-06
181,1.8407528e-06
182,1.8293688e-06
183,1.8206432e-06
184,1.8077117e-06
185,1.8051578e-06
186,1.8042756e-06
187,1.7995741e-06
188,1.7807718e-06
189,1.7804841e-06
190,1.7796181e-06
191,1.777316e-06
192,1.7674909e-06
193,1.7667751e-06
194,1.7584917e-06
195,1.7390853e-06
196,1.736143e-06
197,1.7345529e-06
198,1.716525e-06
199,1.709488e-06
200,1.7049348e-06
201,1.7045962e-06
202,1.6997072e-06
203,1.6996528e-06
204,1.6754718e-06
205,1.6682844e-06
206,1.6671551e-06
207,1.662623e-06
208,1.6613089e-06
209,1.6596584e-06
210,1.6401616e-06
211,1.6388561e-06
212,1.6286208e-06
213,1.6197023e-06
214,1.6175836e-06
215,1.6133574e-06
216,1.608008e-06
217,1.6071347e-06
218,1.594399e-06
219,1.5921571e-06
220,1.579491e-06
221,1.5761841e-06
222,1.5733721e-06
223,1.5628406e-06
224,1.55388e-06
225,1.5528855e-06
226,1.5475865e-06
227,1.5402951e-06
228,1.5321762e-06
229,1.526316e-06
230,1.5218812e-06
231,1.513713e-06
232,1.5106162e-06
233,1.5047948e-06
234,1.4976553e-06
235,1.4879341e-06
236,1.4858452e-06
237,1.4829467e-06
238,1.4782103e-06
239,1.475777e-06
240,1.4699608e-06
241,1.4669603e-06
242,1.4649996e-06
243,1.4649819e-06
244,1.4626333e-06
245,1.4614992e-06
246,1.4585703e-06
247,1.4542076e-06
248,1.45337e-06
249,1.4509524e-06
250,1.4498198e-06
251,1.4240106e-06
252,1.4205509e-06
253,1.4182738e-06
254,1.4047723e-06
255,1.4000476e-06
256,1.3972293e-06
257,1.3913638e-06
258,1.3761969e-06
259,1.3755255e-06
260,1.3611418e-06
261,1.3426281e-06
262,1.3419856e-06
263,1.3393527e-06
