index,eigenvalue
0,16.4979
1,8.327951
2,7.730183
3,6.3813205
4,5.676101
5,5.4559107
6,4.9076486
7,4.4307714
8,3.5902274
9,3.1686022
10,2.9096577
11,1.9100363
12,2.33856e-06
13,1.4628771e-06
14,1.3946054e-06
15,1.3633102e-06
16,1.1316748e-06
17,1.0930381e-06
18,1.0596495e-06
19,1.0356396e-06
20,1.017608e-06
21,1.0039124e-06
22,9.828368e-07
23,9.563992e-07
24,9.4628103e-07
25,9.4436314e-07
26,8.969269e-07
27,8.8947854e-07
28,8.668791e-07
29,8.3227195e-07
30,8.29923e-07
31,8.205028e-07
32,8.0348116e-07
33,7.5617817e-07
34,7.483316e-07
35,7.402819e-07
36,6.813942e-07
37,6.6706104e-07
38,6.609613e-07
39,6.3944265e-07
40,6.329548e-07
41,6.2673763e-07
42,6.263669e-07
43,6.259763e-07
44,6.1103265e-07
45,6.1068846e-07
46,5.840868e-07
47,5.793612e-07
48,5.7584873e-07
49,4.908146e-07
50,4.8692067e-07
51,4.7466602e-07
52,4.6731202e-07
53,4.672167e-07
54,4.4397143e-07
55,4.27942e-07
56,4.2747482e-07
57,4.234867e-07
58,4.2243082e-07
59,4.1867406e-07
60,4.0812108e-07
61,3.9768338e-07
62,3.9303308e-07
63,3.8919762e-07
64,3.8739273e-07
65,3.7813228e-07
66,3.600243e-07
67,3.5691426e-07
68,3.5623154e-07
69,3.4592705e-07
70,3.457673e-07
71,3.4424286e-07
72,3.3975994e-07
73,3.3722608e-07
74,3.3387755e-07
75,3.3283536e-07
76,3.2775418e-07
77,3.2429625e-07
78,3.1934118e-07
79,3.173344e-07
80,3.0896476e-07
81,3.060052e-07
82,3.0437732e-07
83,3.0409223e-07
84,3.0399377e-07
85,2.9458673e-07
86,2.9455595e-07
87,2.9171738e-07
88,2.881915e-07
89,2.8805397e-07
90,2.7645737e-07
91,2.6806367e-07
92,2.6421094e-07
93,2.6023142e-07
94,2.5909392e-07
95,2.5861385e-07
96,2.4265742e-07
97,2.4103096e-07
98,2.3834865e-07
99,2.3760596e-07
100,2.3708714e-07
101,2.364887e-07
102,2.3482903e-07
103,2.3424982e-07
104,2.2839409e-07
105,2.2342132e-07
106,2.215316e-07
107,2.1537245e-07
108,2.1519186e-07
109,2.1287053e-07
110,2.1076764e-07
111,2.0806165e-07
112,2.0048228e-07
113,2.0046022e-07
114,1.9833449e-07
115,1.9496538e-07
116,1.9464213e-07
117,1.9302188e-07
118,1.8963868e-07
119,1.8795511e-07
120,1.8509918e-07
121,1.837824e-07
122,1.8314651e-07
123,1.828594e-07
124,1.817038e-07
125,1.8101262e-07
126,1.7793789e-07
127,1.7375947e-07
128,1.713111e-07
129,1.6906004e-07
130,1.6591494e-07
131,1.6524716e-07
132,1.6476574e-07
133,1.624877e-07
134,1.624347e-07
135,1.6199094e-07
136,1.6116708e-07
137,1.6097128e-07
138,1.5897932e-07
139,1.5821048e-07
140,1.5575684e-07
141,1.5550503e-07
142,1.5504479e-07
143,1.5222683e-07
144,1.5137446e-07
145,1.5064788e-07
146,1.4908505e-07
147,1.4821997e-07
148,1.4808934e-07
149,1.480528e-07
150,1.4727988e-07
151,1.4625878e-07
152,1.453621e-07
